Number,Short description,Change Environment,Opened by,Assigned to,Assignment group,Service,State,Risk,Priority,Urgency,Impact,Model,Created,Start Date,Closed
CR-750,Data breach notification sent to affected users.,Network,User C,User C,Group B,Service B,Resolved,Low,P2,High,Medium,Model A,2025-04-20 18:12:40,2025-04-20 20:12:40,2025-04-20 21:12:40
CR-751,User login failed: Account locked due to excessive login attempts.,Access,User D,User D,Group B,Service A,New,Low,P3,Medium,High,Model B,2024-07-10 18:12:40,,
CR-752,Service unavailable due to maintenance,Network,User B,User B,Group B,Service A,In Progress,Medium,P1,Low,Low,Model C,2024-01-21 18:12:40,2024-01-21 19:12:40,
CR-753,Performance report: Sluggish response times on application.,SLA Breach,User B,User B,Group B,Service A,Resolved,High,P1,Medium,Medium,Model C,2024-08-30 18:12:40,2024-08-30 21:12:40,2024-08-30 22:12:40
CR-754,Security patch applied: Monitoring for any issues.,Complaint,User B,User B,Group C,Service A,Closed,Low,P3,Low,Medium,Model C,2024-06-21 18:12:40,2024-06-21 19:12:40,2024-06-21 20:12:40
CR-755,Failed Workflow - ID: 0000,Facilities,User D,User B,Group C,Service B,In Progress,Medium,P1,Low,Medium,Model A,2024-03-16 18:12:40,2024-03-16 19:12:40,
CR-756,Security patch applied: Monitoring for any issues.,Network,User A,"",Group A,Service B,Closed,Medium,P2,High,High,Model C,2024-07-03 18:12:40,2024-07-03 20:12:40,2024-07-03 22:12:40
CR-757,Suspicious activity detected on account: User A.,Hardware,User D,"",Group A,Service C,Resolved,High,P3,Low,Low,Model A,2025-04-16 18:12:40,2025-04-16 19:12:40,2025-04-16 20:12:40
CR-758,Security patch applied: Monitoring for any issues.,Failure,User A,User B,Group C,Service B,New,Medium,P1,Medium,High,Model B,2025-05-04 18:12:40,,
CR-759,Data breach notification sent to affected users.,Hardware,User D,User D,Group B,Service A,New,Medium,P1,High,Low,Model B,2025-06-28 18:12:40,,
CR-760,Data breach notification sent to affected users.,Software,User A,User D,Group C,Service A,New,Low,P1,High,High,Model B,2025-04-27 18:12:40,,
CR-761,Network issue: Unable to connect to external API.,Complaint,User B,User C,Group C,Service C,Closed,Medium,P3,Medium,Low,Model C,2024-10-10 18:12:40,2024-10-10 21:12:40,2024-10-11 01:12:40
CR-762,Performance report: Sluggish response times on application.,Software,User D,User D,Group C,Service C,On Hold,High,P3,High,Low,Model C,2025-10-02 18:12:40,,
CR-763,Network issue: Unable to connect to external API.,Failure,User D,User A,Group A,Service B,Closed,High,P2,High,Medium,Model B,2024-04-17 18:12:40,2024-04-17 19:12:40,2024-04-17 21:12:40
CR-764,Service outage detected - No connection to database.,Complaint,User C,User D,Group B,Service C,Resolved,Medium,P1,High,Medium,Model C,2024-09-05 18:12:40,2024-09-05 20:12:40,2024-09-05 21:12:40
CR-765,Suspicious activity detected on account: User A.,SLA Breach,User B,User D,Group B,Service A,Canceled,Medium,P2,High,Low,Model A,2024-12-20 18:12:40,2024-12-20 19:12:40,2024-12-20 21:12:40
CR-766,Security alert: Unauthorized access attempt detected.,Software,User B,User A,Group C,Service C,Resolved,Low,P2,High,Medium,Model C,2025-07-16 18:12:40,2025-07-16 19:12:40,2025-07-16 22:12:40
CR-767,Service outage detected - No connection to database.,Hardware,User D,"",Group C,Service C,Resolved,Medium,P2,Low,Low,Model A,2024-04-22 18:12:40,2024-04-22 20:12:40,2024-04-23 00:12:40
CR-768,Routine check: All systems operational - No issues detected.,Access,User B,User C,Group A,Service A,Closed,Low,P2,Low,Low,Model B,2025-02-10 18:12:40,2025-02-10 21:12:40,2025-02-11 00:12:40
CR-769,Suspicious activity detected on account: User A.,Failure,User D,User B,Group B,Service B,In Progress,High,P2,High,Low,Model C,2024-10-22 18:12:40,2024-10-22 21:12:40,
CR-770,User login failed: Account locked due to excessive login attempts.,Access,User B,User D,Group B,Service C,On Hold,Medium,P3,Low,Low,Model A,2024-10-30 18:12:40,,
CR-771,Critical alert: Database server overload detected.,Facilities,User C,User C,Group C,Service C,On Hold,Medium,P3,High,High,Model C,2024-11-07 18:12:40,,
CR-772,User login failed: Account locked due to excessive login attempts.,Hardware,User A,User D,Group A,Service A,Resolved,Low,P1,Medium,Low,Model B,2024-05-20 18:12:40,2024-05-20 20:12:40,2024-05-21 00:12:40
CR-773,Security alert: Unauthorized access attempt detected.,Network,User B,User B,Group B,Service A,New,Low,P1,Medium,Low,Model B,2024-05-12 18:12:40,,
CR-774,Service outage detected - No connection to database.,Hardware,User D,User D,Group A,Service B,New,Low,P3,Low,Medium,Model B,2024-08-19 18:12:40,,
CR-775,Suspicious activity detected on account: User A.,Software,User B,"",Group C,Service A,Closed,Low,P3,Low,Medium,Model A,2025-07-25 18:12:40,2025-07-25 19:12:40,2025-07-25 21:12:40
CR-776,Routine check: All systems operational - No issues detected.,Data,User C,User D,Group B,Service A,Closed,Medium,P1,Medium,High,Model B,2024-11-07 18:12:40,2024-11-07 21:12:40,2024-11-08 00:12:40
CR-777,Security patch applied: Monitoring for any issues.,Hardware,User B,User C,Group B,Service B,New,Low,P3,Medium,High,Model C,2024-02-07 18:12:40,,
CR-778,Security patch applied: Monitoring for any issues.,Software,User B,User C,Group C,Service A,In Progress,Medium,P3,High,High,Model A,2024-02-03 18:12:40,2024-02-03 19:12:40,
CR-779,Security alert: Unauthorized access attempt detected.,Hardware,User C,"",Group B,Service B,New,Low,P1,Medium,Medium,Model B,2024-05-15 18:12:40,,
CR-780,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Hardware,User A,User A,Group A,Service C,Closed,Low,P2,Medium,Low,Model B,2025-02-24 18:12:40,2025-02-24 21:12:40,2025-02-25 01:12:40
CR-781,Performance report: Sluggish response times on application.,Access,User B,User B,Group C,Service C,New,Low,P1,Medium,High,Model C,2024-07-27 18:12:40,,
CR-782,Security patch applied: Monitoring for any issues.,Facilities,User C,User C,Group B,Service C,Resolved,Low,P2,Medium,Low,Model C,2025-07-23 18:12:40,2025-07-23 21:12:40,2025-07-23 22:12:40
CR-783,Service unavailable due to maintenance,Software,User C,User C,Group C,Service C,Resolved,Low,P3,High,Medium,Model A,2024-12-09 18:12:40,2024-12-09 21:12:40,2024-12-10 01:12:40
CR-784,Performance report: Sluggish response times on application.,Failure,User A,"",Group A,Service A,Closed,High,P3,Low,Low,Model A,2024-06-12 18:12:40,2024-06-12 19:12:40,2024-06-12 22:12:40
CR-785,Service outage detected - No connection to database.,Data,User C,User D,Group C,Service C,In Progress,Low,P1,Medium,Low,Model B,2024-05-01 18:12:40,2024-05-01 20:12:40,
CR-786,User login failed: Account locked due to excessive login attempts.,Facilities,User A,User C,Group C,Service A,On Hold,High,P3,Medium,Medium,Model A,2024-10-12 18:12:40,,
CR-787,Service outage detected - No connection to database.,SLA Breach,User A,User A,Group C,Service B,Resolved,High,P2,Low,Low,Model C,2024-05-03 18:12:40,2024-05-03 19:12:40,2024-05-03 22:12:40
CR-788,User login failed: Account locked due to excessive login attempts.,Failure,User B,User D,Group A,Service B,In Progress,Medium,P1,Low,High,Model A,2024-08-15 18:12:40,2024-08-15 20:12:40,
CR-789,Service outage detected - No connection to database.,Data,User C,User A,Group C,Service C,In Progress,Low,P1,Low,Medium,Model C,2025-02-22 18:12:40,2025-02-22 21:12:40,
CR-790,Critical alert: Database server overload detected.,Data,User D,User D,Group B,Service B,Canceled,High,P2,Low,Low,Model A,2025-04-23 18:12:40,2025-04-23 21:12:40,2025-04-24 00:12:40
CR-791,Security patch applied: Monitoring for any issues.,Access,User C,User D,Group A,Service B,Canceled,High,P3,Low,Medium,Model C,2024-01-07 18:12:40,2024-01-07 21:12:40,2024-01-08 01:12:40
CR-792,Critical alert: Database server overload detected.,Data,User A,User D,Group B,Service C,Resolved,High,P1,Low,Low,Model A,2024-11-11 18:12:40,2024-11-11 20:12:40,2024-11-11 22:12:40
CR-793,Data breach notification sent to affected users.,Facilities,User A,User A,Group C,Service C,In Progress,High,P3,Low,Low,Model C,2025-09-15 18:12:40,2025-09-15 20:12:40,
CR-794,Security patch applied: Monitoring for any issues.,Network,User B,User A,Group C,Service B,Closed,Low,P3,Medium,Low,Model C,2025-01-27 18:12:40,2025-01-27 19:12:40,2025-01-27 21:12:40
CR-795,Performance report: Sluggish response times on application.,Failure,User B,User A,Group B,Service B,Canceled,High,P3,Low,High,Model A,2024-12-03 18:12:40,2024-12-03 19:12:40,2024-12-03 22:12:40
CR-796,Suspicious activity detected on account: User A.,Complaint,User C,User D,Group B,Service C,Canceled,Low,P2,Medium,High,Model C,2025-08-17 18:12:40,2025-08-17 20:12:40,2025-08-17 22:12:40
CR-797,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User A,User B,Group C,Service B,Resolved,Low,P3,Low,Medium,Model C,2025-09-06 18:12:40,2025-09-06 20:12:40,2025-09-06 23:12:40
CR-798,Critical alert: Database server overload detected.,Data,User C,User C,Group C,Service C,In Progress,High,P3,High,High,Model A,2024-12-12 18:12:40,2024-12-12 21:12:40,
CR-799,Service unavailable due to maintenance,Complaint,User B,User B,Group A,Service B,Closed,Low,P3,Medium,Medium,Model C,2025-07-31 18:12:40,2025-07-31 21:12:40,2025-07-31 23:12:40
CR-800,Security alert: Unauthorized access attempt detected.,Hardware,User D,User C,Group A,Service B,In Progress,Medium,P1,Low,Low,Model A,2024-08-31 18:12:40,2024-08-31 21:12:40,
CR-801,Performance report: Sluggish response times on application.,Facilities,User A,User C,Group B,Service B,In Progress,Medium,P2,High,High,Model B,2024-09-26 18:12:40,2024-09-26 20:12:40,
CR-802,Performance report: Sluggish response times on application.,Hardware,User A,"",Group A,Service C,New,Low,P1,High,Medium,Model C,2024-08-05 18:12:40,,
CR-803,Performance report: Sluggish response times on application.,Network,User C,User C,Group B,Service A,In Progress,Medium,P2,High,Medium,Model A,2025-05-31 18:12:40,2025-05-31 20:12:40,
CR-804,Security patch applied: Monitoring for any issues.,Access,User D,User B,Group B,Service A,New,Low,P1,Low,Medium,Model C,2025-08-08 18:12:40,,
CR-805,Security alert: Unauthorized access attempt detected.,SLA Breach,User D,"",Group B,Service B,Closed,Low,P3,Low,Medium,Model C,2024-02-23 18:12:40,2024-02-23 20:12:40,2024-02-24 00:12:40
CR-806,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Hardware,User A,User C,Group B,Service B,New,Medium,P1,High,Low,Model C,2025-11-11 18:12:40,,
CR-807,Security alert: Unauthorized access attempt detected.,Network,User B,User A,Group A,Service A,Resolved,High,P1,Medium,Low,Model B,2024-07-05 18:12:40,2024-07-05 21:12:40,2024-07-05 23:12:40
CR-808,Service outage detected - No connection to database.,Failure,User C,User B,Group A,Service C,New,High,P3,Medium,Low,Model C,2024-08-08 18:12:40,,
CR-809,Security alert: Unauthorized access attempt detected.,SLA Breach,User B,"",Group B,Service B,In Progress,Low,P2,Low,Medium,Model B,2024-04-28 18:12:40,2024-04-28 20:12:40,
CR-810,Performance report: Sluggish response times on application.,Hardware,User C,"",Group A,Service C,Resolved,Medium,P1,Low,High,Model C,2024-04-27 18:12:40,2024-04-27 21:12:40,2024-04-28 01:12:40
CR-811,Security patch applied: Monitoring for any issues.,Network,User B,User A,Group A,Service A,New,Medium,P1,Medium,High,Model A,2023-11-26 18:12:40,,
CR-812,Routine check: All systems operational - No issues detected.,Access,User B,User C,Group A,Service B,New,High,P3,Medium,Low,Model C,2024-01-10 18:12:40,,
CR-813,Suspicious activity detected on account: User A.,Complaint,User D,User B,Group C,Service B,In Progress,High,P2,Medium,High,Model A,2024-04-30 18:12:40,2024-04-30 20:12:40,
CR-814,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Facilities,User B,User C,Group C,Service B,Canceled,Low,P2,Low,High,Model C,2024-10-23 18:12:40,2024-10-23 19:12:40,2024-10-23 21:12:40
CR-815,Suspicious activity detected on account: User A.,Data,User C,User A,Group B,Service A,Resolved,High,P1,Low,Low,Model A,2024-03-27 18:12:40,2024-03-27 21:12:40,2024-03-28 01:12:40
CR-816,Suspicious activity detected on account: User A.,Data,User A,User D,Group C,Service B,New,High,P3,Medium,Medium,Model B,2024-08-22 18:12:40,,
CR-817,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Network,User A,"",Group C,Service C,Resolved,Medium,P3,High,Low,Model A,2024-07-29 18:12:40,2024-07-29 19:12:40,2024-07-29 20:12:40
CR-818,Suspicious activity detected on account: User A.,Software,User C,User D,Group C,Service A,Closed,Medium,P3,High,High,Model B,2025-09-25 18:12:40,2025-09-25 19:12:40,2025-09-25 21:12:40
CR-819,Service unavailable due to maintenance,Access,User A,User B,Group C,Service C,Resolved,High,P3,Low,Low,Model A,2025-02-05 18:12:40,2025-02-05 21:12:40,2025-02-05 23:12:40
CR-820,Routine check: All systems operational - No issues detected.,Software,User B,"",Group B,Service B,In Progress,Medium,P2,Low,Medium,Model A,2024-12-08 18:12:40,2024-12-08 21:12:40,
CR-821,Suspicious activity detected on account: User A.,Hardware,User D,User D,Group A,Service B,Canceled,Medium,P3,High,Medium,Model B,2025-08-21 18:12:40,2025-08-21 20:12:40,2025-08-22 00:12:40
CR-822,Security patch applied: Monitoring for any issues.,Facilities,User C,User D,Group B,Service A,Resolved,Low,P3,Low,Medium,Model A,2024-05-14 18:12:40,2024-05-14 21:12:40,2024-05-14 22:12:40
CR-823,Network issue: Unable to connect to external API.,SLA Breach,User A,User A,Group C,Service A,Closed,Low,P2,Medium,Medium,Model C,2025-11-05 18:12:40,2025-11-05 20:12:40,2025-11-05 22:12:40
CR-824,Network issue: Unable to connect to external API.,Complaint,User D,User C,Group C,Service B,New,Low,P1,Medium,Low,Model A,2024-09-14 18:12:40,,
CR-825,Security alert: Unauthorized access attempt detected.,SLA Breach,User C,User B,Group C,Service A,Resolved,Medium,P2,Low,Low,Model B,2025-02-22 18:12:40,2025-02-22 21:12:40,2025-02-22 22:12:40
CR-826,Critical alert: Database server overload detected.,Failure,User C,User C,Group A,Service C,Canceled,High,P1,Low,High,Model C,2025-06-10 18:12:40,2025-06-10 20:12:40,2025-06-10 21:12:40
CR-827,Security patch applied: Monitoring for any issues.,Hardware,User D,User B,Group A,Service C,Resolved,Low,P2,Medium,High,Model A,2024-03-27 18:12:40,2024-03-27 19:12:40,2024-03-27 21:12:40
CR-828,Failed Workflow - ID: 0000,Complaint,User D,User D,Group C,Service B,Resolved,Medium,P2,High,Low,Model A,2024-08-09 18:12:40,2024-08-09 20:12:40,2024-08-09 21:12:40
CR-829,User login failed: Account locked due to excessive login attempts.,Network,User C,User C,Group A,Service A,In Progress,High,P2,Low,High,Model B,2024-12-20 18:12:40,2024-12-20 19:12:40,
CR-830,Network issue: Unable to connect to external API.,Failure,User D,User D,Group B,Service A,Canceled,High,P3,Medium,Medium,Model B,2024-10-21 18:12:40,2024-10-21 20:12:40,2024-10-22 00:12:40
CR-831,Suspicious activity detected on account: User A.,Software,User D,User C,Group B,Service B,Closed,Low,P1,Medium,High,Model B,2025-08-12 18:12:40,2025-08-12 20:12:40,2025-08-12 22:12:40
CR-832,Security alert: Unauthorized access attempt detected.,Failure,User B,"",Group A,Service B,Closed,High,P3,Low,Medium,Model B,2025-03-23 18:12:40,2025-03-23 21:12:40,2025-03-24 01:12:40
CR-833,Service unavailable due to maintenance,Access,User A,User B,Group A,Service A,Resolved,High,P1,Low,Medium,Model A,2024-07-19 18:12:40,2024-07-19 21:12:40,2024-07-20 01:12:40
CR-834,Network issue: Unable to connect to external API.,Complaint,User D,User B,Group A,Service B,Canceled,High,P1,Low,Low,Model A,2025-08-20 18:12:40,2025-08-20 20:12:40,2025-08-20 21:12:40
CR-835,Security patch applied: Monitoring for any issues.,Complaint,User C,User A,Group C,Service B,In Progress,Low,P1,Medium,Low,Model B,2024-07-29 18:12:40,2024-07-29 20:12:40,
CR-836,Data breach notification sent to affected users.,Network,User C,User C,Group A,Service A,Canceled,High,P1,High,Medium,Model A,2025-07-25 18:12:40,2025-07-25 21:12:40,2025-07-25 23:12:40
CR-837,Network issue: Unable to connect to external API.,Failure,User A,User B,Group B,Service A,In Progress,High,P1,Medium,Medium,Model C,2025-06-14 18:12:40,2025-06-14 21:12:40,
CR-838,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Facilities,User B,User B,Group C,Service B,Closed,Low,P3,Medium,Medium,Model C,2024-10-19 18:12:40,2024-10-19 21:12:40,2024-10-19 23:12:40
CR-839,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Complaint,User B,"",Group A,Service B,On Hold,High,P1,High,High,Model A,2025-01-07 18:12:40,,
CR-840,Suspicious activity detected on account: User A.,Network,User B,User C,Group B,Service B,New,Low,P1,Medium,High,Model C,2025-04-30 18:12:40,,
CR-841,Critical alert: Database server overload detected.,Data,User D,User D,Group B,Service A,New,Medium,P1,Medium,Medium,Model A,2024-09-28 18:12:40,,
CR-842,Routine check: All systems operational - No issues detected.,SLA Breach,User A,User C,Group C,Service B,On Hold,High,P3,Medium,Medium,Model B,2023-12-16 18:12:40,,
CR-843,Security alert: Unauthorized access attempt detected.,Complaint,User C,User C,Group B,Service C,Closed,High,P2,High,Medium,Model A,2025-02-26 18:12:40,2025-02-26 21:12:40,2025-02-27 01:12:40
CR-844,Data breach notification sent to affected users.,SLA Breach,User D,User C,Group B,Service B,New,Medium,P3,Medium,Low,Model B,2025-02-06 18:12:40,,
CR-845,Service outage detected - No connection to database.,SLA Breach,User C,"",Group A,Service A,Resolved,Medium,P3,Medium,Medium,Model A,2024-02-02 18:12:40,2024-02-02 19:12:40,2024-02-02 23:12:40
CR-846,Routine check: All systems operational - No issues detected.,Hardware,User A,"",Group A,Service A,New,Low,P3,Low,Medium,Model C,2025-02-15 18:12:40,,
CR-847,Data breach notification sent to affected users.,SLA Breach,User D,User B,Group A,Service C,Closed,High,P2,High,Low,Model A,2025-08-14 18:12:40,2025-08-14 19:12:40,2025-08-14 21:12:40
CR-848,Service unavailable due to maintenance,Network,User D,"",Group C,Service C,In Progress,Medium,P3,High,High,Model C,2025-01-21 18:12:40,2025-01-21 20:12:40,
CR-849,Data breach notification sent to affected users.,Hardware,User A,User C,Group C,Service A,Closed,Medium,P2,Medium,Medium,Model C,2023-12-21 18:12:40,2023-12-21 20:12:40,2023-12-21 22:12:40
CR-850,Security patch applied: Monitoring for any issues.,Software,User C,User B,Group A,Service B,Resolved,High,P1,Medium,High,Model B,2024-05-06 18:12:40,2024-05-06 19:12:40,2024-05-06 21:12:40
CR-851,Security patch applied: Monitoring for any issues.,Complaint,User B,User C,Group C,Service B,Canceled,High,P3,Low,Medium,Model A,2025-10-09 18:12:40,2025-10-09 21:12:40,2025-10-10 00:12:40
CR-852,Service outage detected - No connection to database.,Complaint,User D,User D,Group C,Service C,In Progress,Low,P2,Medium,Medium,Model C,2024-09-29 18:12:40,2024-09-29 19:12:40,
CR-853,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User C,User C,Group B,Service C,Canceled,High,P2,High,Medium,Model A,2025-04-28 18:12:40,2025-04-28 19:12:40,2025-04-28 22:12:40
CR-854,Suspicious activity detected on account: User A.,Network,User D,User D,Group A,Service A,Resolved,Low,P1,Low,Medium,Model C,2025-02-22 18:12:40,2025-02-22 19:12:40,2025-02-22 21:12:40
CR-855,Security alert: Unauthorized access attempt detected.,Data,User C,"",Group C,Service C,On Hold,Low,P1,High,High,Model B,2025-03-02 18:12:40,,
CR-856,User login failed: Account locked due to excessive login attempts.,SLA Breach,User C,"",Group C,Service B,Closed,Low,P1,High,Low,Model A,2025-06-28 18:12:40,2025-06-28 19:12:40,2025-06-28 22:12:40
CR-857,Failed Workflow - ID: 0000,Network,User D,User B,Group B,Service C,Canceled,Medium,P3,High,Medium,Model A,2024-08-02 18:12:40,2024-08-02 19:12:40,2024-08-02 22:12:40
CR-858,Network issue: Unable to connect to external API.,Network,User C,User A,Group B,Service A,New,Low,P1,Low,Medium,Model B,2025-03-21 18:12:40,,
CR-859,Service outage detected - No connection to database.,Data,User C,User B,Group B,Service C,Canceled,Medium,P1,High,High,Model C,2024-03-17 18:12:40,2024-03-17 20:12:40,2024-03-17 22:12:40
CR-860,Critical alert: Database server overload detected.,Complaint,User B,User A,Group A,Service A,On Hold,Low,P1,High,Low,Model A,2024-11-25 18:12:40,,
CR-861,Network issue: Unable to connect to external API.,Complaint,User A,User A,Group C,Service B,Resolved,Medium,P2,Medium,Medium,Model B,2024-05-28 18:12:40,2024-05-28 21:12:40,2024-05-28 22:12:40
CR-862,Service outage detected - No connection to database.,Software,User A,User B,Group A,Service C,Canceled,Medium,P2,High,Medium,Model A,2025-10-06 18:12:40,2025-10-06 19:12:40,2025-10-06 20:12:40
CR-863,Service unavailable due to maintenance,Complaint,User D,User D,Group C,Service A,In Progress,Low,P3,High,Low,Model B,2023-12-05 18:12:40,2023-12-05 20:12:40,
CR-864,Data breach notification sent to affected users.,Network,User D,User B,Group B,Service C,In Progress,Medium,P3,Low,Medium,Model C,2025-04-04 18:12:40,2025-04-04 21:12:40,
CR-865,Network issue: Unable to connect to external API.,SLA Breach,User A,User C,Group A,Service A,Resolved,Low,P3,Medium,High,Model A,2025-03-31 18:12:40,2025-03-31 20:12:40,2025-03-31 22:12:40
CR-866,User login failed: Account locked due to excessive login attempts.,Facilities,User D,User A,Group C,Service A,Resolved,High,P1,High,Low,Model B,2025-02-11 18:12:40,2025-02-11 20:12:40,2025-02-11 21:12:40
CR-867,Data breach notification sent to affected users.,Network,User C,User D,Group C,Service A,In Progress,Low,P3,Medium,Medium,Model C,2023-11-30 18:12:40,2023-11-30 19:12:40,
CR-868,Suspicious activity detected on account: User A.,Network,User C,"",Group B,Service C,Closed,High,P1,Low,High,Model B,2024-01-31 18:12:40,2024-01-31 21:12:40,2024-02-01 00:12:40
CR-869,Suspicious activity detected on account: User A.,Facilities,User A,User B,Group B,Service C,Resolved,Low,P2,Low,High,Model A,2025-02-26 18:12:40,2025-02-26 19:12:40,2025-02-26 22:12:40
CR-870,Security patch applied: Monitoring for any issues.,Hardware,User C,User A,Group A,Service C,Closed,Medium,P3,Low,Low,Model A,2024-09-04 18:12:40,2024-09-04 19:12:40,2024-09-04 20:12:40
CR-871,Suspicious activity detected on account: User A.,Facilities,User D,User A,Group C,Service B,In Progress,High,P1,High,High,Model C,2025-11-13 18:12:40,2025-11-13 20:12:40,
CR-872,Service unavailable due to maintenance,Software,User B,User C,Group B,Service B,Canceled,High,P2,Low,Medium,Model C,2024-03-04 18:12:40,2024-03-04 20:12:40,2024-03-04 21:12:40
CR-873,Security patch applied: Monitoring for any issues.,Failure,User D,User C,Group C,Service B,Resolved,Medium,P2,High,Medium,Model B,2025-04-14 18:12:40,2025-04-14 19:12:40,2025-04-14 20:12:40
CR-874,Failed Workflow - ID: 0000,Access,User D,User D,Group C,Service A,New,Medium,P2,High,Low,Model B,2025-11-10 18:12:40,,
CR-875,Critical alert: Database server overload detected.,Failure,User D,User B,Group A,Service B,Closed,High,P1,High,Medium,Model B,2025-03-19 18:12:40,2025-03-19 19:12:40,2025-03-19 22:12:40
CR-876,Performance report: Sluggish response times on application.,SLA Breach,User A,User B,Group C,Service A,Closed,High,P3,Medium,Medium,Model B,2024-04-23 18:12:40,2024-04-23 20:12:40,2024-04-23 21:12:40
CR-877,Failed Workflow - ID: 0000,Data,User A,"",Group A,Service B,On Hold,High,P3,Low,Low,Model C,2024-10-26 18:12:40,,
CR-878,User login failed: Account locked due to excessive login attempts.,Hardware,User D,User A,Group A,Service A,Resolved,Medium,P2,Low,Medium,Model A,2024-12-28 18:12:40,2024-12-28 19:12:40,2024-12-28 20:12:40
CR-879,Performance report: Sluggish response times on application.,Software,User D,User A,Group A,Service C,Canceled,Medium,P2,Medium,High,Model A,2025-03-23 18:12:40,2025-03-23 21:12:40,2025-03-23 23:12:40
CR-880,Performance report: Sluggish response times on application.,Complaint,User D,User B,Group B,Service A,Canceled,Low,P3,High,Low,Model C,2024-11-30 18:12:40,2024-11-30 20:12:40,2024-12-01 00:12:40
CR-881,Routine check: All systems operational - No issues detected.,Software,User A,User C,Group C,Service A,Resolved,Medium,P2,High,Low,Model A,2025-09-14 18:12:40,2025-09-14 20:12:40,2025-09-15 00:12:40
CR-882,Performance report: Sluggish response times on application.,Hardware,User D,User B,Group A,Service B,New,High,P3,Low,Low,Model C,2024-05-22 18:12:40,,
CR-883,Network issue: Unable to connect to external API.,Failure,User C,User D,Group C,Service A,Closed,High,P3,Low,Medium,Model A,2025-01-07 18:12:40,2025-01-07 21:12:40,2025-01-07 22:12:40
CR-884,Critical alert: Database server overload detected.,Failure,User B,User B,Group B,Service A,Canceled,Medium,P2,High,Low,Model A,2024-11-16 18:12:40,2024-11-16 19:12:40,2024-11-16 22:12:40
CR-885,Suspicious activity detected on account: User A.,Access,User A,"",Group C,Service A,Canceled,Low,P2,Low,Medium,Model B,2024-05-24 18:12:40,2024-05-24 20:12:40,2024-05-24 21:12:40
CR-886,Performance report: Sluggish response times on application.,Complaint,User C,User D,Group A,Service B,On Hold,Low,P1,High,High,Model A,2024-11-13 18:12:40,,
CR-887,Failed Workflow - ID: 0000,Hardware,User C,"",Group B,Service C,Canceled,High,P1,High,Medium,Model C,2023-12-01 18:12:40,2023-12-01 21:12:40,2023-12-01 22:12:40
CR-888,Service unavailable due to maintenance,Facilities,User C,User C,Group A,Service B,Canceled,High,P2,Low,Medium,Model C,2024-10-04 18:12:40,2024-10-04 21:12:40,2024-10-05 01:12:40
CR-889,Service outage detected - No connection to database.,Failure,User D,User D,Group C,Service C,Closed,Medium,P3,Medium,Low,Model C,2025-08-07 18:12:40,2025-08-07 20:12:40,2025-08-07 21:12:40
CR-890,Critical alert: Database server overload detected.,Facilities,User D,User A,Group C,Service A,On Hold,Medium,P2,Medium,Low,Model A,2025-04-08 18:12:40,,
CR-891,Service unavailable due to maintenance,Software,User C,User D,Group A,Service C,New,Low,P2,Low,High,Model C,2025-10-18 18:12:40,,
CR-892,Network issue: Unable to connect to external API.,Network,User A,User D,Group C,Service A,In Progress,Medium,P3,Medium,High,Model C,2024-08-20 18:12:40,2024-08-20 21:12:40,
CR-893,Security alert: Unauthorized access attempt detected.,Complaint,User A,User B,Group A,Service B,On Hold,Low,P2,Medium,Medium,Model C,2025-07-27 18:12:40,,
CR-894,User login failed: Account locked due to excessive login attempts.,Failure,User D,User D,Group A,Service C,Resolved,Low,P3,Medium,High,Model A,2025-04-08 18:12:40,2025-04-08 19:12:40,2025-04-08 21:12:40
CR-895,Network issue: Unable to connect to external API.,Hardware,User A,User D,Group C,Service B,Canceled,Low,P2,High,High,Model A,2025-06-16 18:12:40,2025-06-16 20:12:40,2025-06-16 22:12:40
CR-896,Security patch applied: Monitoring for any issues.,Facilities,User C,User C,Group C,Service B,New,High,P1,Low,Medium,Model A,2024-05-14 18:12:40,,
CR-897,Failed Workflow - ID: 0000,SLA Breach,User C,User A,Group A,Service B,Canceled,Medium,P2,Medium,Low,Model B,2025-02-18 18:12:40,2025-02-18 21:12:40,2025-02-19 01:12:40
CR-898,Critical alert: Database server overload detected.,Complaint,User A,"",Group B,Service A,Closed,Low,P3,High,Low,Model B,2025-02-20 18:12:40,2025-02-20 21:12:40,2025-02-20 23:12:40
CR-899,Suspicious activity detected on account: User A.,Data,User D,User B,Group A,Service A,On Hold,Low,P1,High,Medium,Model A,2025-11-04 18:12:40,,
CR-900,Service outage detected - No connection to database.,SLA Breach,User B,User B,Group C,Service A,New,High,P1,High,Low,Model A,2025-08-25 18:12:40,,
